feature,feature with no special characters,legend,Adapazar,Akn,Alashkert,Altun-Husein,Amasia,Arabkir,Aramo,Arjesh,ArtialKuti,Artial Suceava,Aslanbek,Aygetun,Ayntab,Baberd,Bardizag,Beylan,Bitlis,Charsanchag ,Chmshgadzak,Constantinople,Crimea,Darende,EdesiaUrfa,Erznkay,Eudokia,Evereg,Gamakh,Gelieguzan Sasun,Gop,Grabar,Gyumri,Gyurin,Hajin,HajiHabibli Svedia,Halvorig,Hamshen Mala,Hamshen Martil,Hamshen Zefanos,Hazzo,Jerusalem,Kesab Galaduran,Kabusiye,Karin,Kesaria,KharberdDersim,Khodorjur,Malatya,Manazkert,Marash,Marzvan,Middle Arm,Moks,Mush,Nicomedia,Nish,Ordu,Ozmi,Prknig,Rodosto,Sasun,Sebastia,Shabin-Karahisar,Shatakh,Sivrihisar,Smyrna,SWA,Syolyoz,Tigranakert,Tomarza,Trabzon,Van,Vartenis,Xlat,Xnus,Xtrbek,Yoghnoluk,YozgatGamirk,Zeytun,Shamakhi
pluperf in r perer em 85,pluperf in r perer em 85,,1,1,1,1,1,1,1,1,0,0,1,1,?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,?,1,0
aorpret in uk yepadz yepug 86,aorpret in uk yepadz yepug 86,,1,1,1,1,1,1,0,1,0,0,0,1,?,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,?,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,?,0,0
1st conjugation verbs only 3SG in e 87,1st conjugation verbs only 3SG in e 87,2=i; 3=a/æ,0,0,0,0,0,2,0,0,0,0,0,0,?,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,?,2,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,?,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,?,0,1
"aux (copula) to a in 3rd person (a, ä, ?/a) 88",aux copula to a in 3rd person a  a 88,,0,0,0,1,0,1,0,1,0,0,1,0,?,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,?,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,?,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,?,0,1
"?i > i in aux verbs (i, ir, etc.) 89",i  i in aux verbs i ir etc 89,"2=i > y (?y, ?yr, etc)",0,0,1,0,0,0,0,1,0,0,0,2,?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,?,0,0,0,0,0,0,0,1,1,0,0,2,1,0,2,0,2,0,0,?,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,?,0,1
participles in loc lyac li lik in contrast to CA 90,participles in loc lyac li lik in contrast to CA 90,2=loc lyac; 3=li,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,?,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,?,0,0
grabar participle in agaagun comp future 91,grabar participle in agaagun comp future 91,2=ac’uk’; 3=ogh; 4)o(n)k,0,0,0,0,0,0,0,0,0,0,0,4,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,?,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,1
past formed w periphrastic constrw particle 93,past formed w periphrastic constrw particle 93,2=w special particle,0,0,0,0,0,0,2,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,?,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,?,0,0
1st 3rd conj aor in cank 94,1st 3rd conj aor in cank 94,2=all roots in a; 3=strictly cak’ ending,1,1,0,0,0,0,1,0,0,0,1,0,?,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,1,1,2,3,3,3,0,?,1,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,0,1,1,?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,?,1,0
1st conj verbs aor in other stems grem gramgrim 95 tshless aorist,1st conj verbs aor in other stems grem gramgrim 95 tshless aorist,,0,0,1,1,0,0,0,1,0,0,0,0,?,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,?,1,0
compound aor instead of c 96,compound aor instead of c 96,2=only 3rd missing,0,0,0,0,0,0,0,0,2,1,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0
postposed negative kril mi kres i 97,postposed negative kril mi kres i 97,,0,0,0,0,1,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,?,0,1
doubling of aux verb in neg (?em krer em) 98,doubling of aux verb in neg em krer em 98,2=double inflection in negative (?em krem); 3=doubleAUX+doubleNEG,0,0,1,0,0,0,0,1,0,0,0,0,?,0,2,0,1,2,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,?,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,?,0,0,0,0,0,0,0,1,1,3,0,1,1,1,0,0,?,0,0
neg particle 99,neg particle 99,,0,0,1,0,0,0,1,1,0,0,0,1,?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,?,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,?,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,?,1,0
